ts,machine_id,line,temp_c,vibration_mm_s,pressure_bar,throughput_units,status
2024-06-01 00:03:51,M010,LINE_2,71.73,4.028,6.0,100.0,warn
2024-06-01 00:04:10,M001,LINE_1,56.04,0.0,4.77,86.0,ok
2024-06-01 00:04:16,M001,LINE_1,63.45,2.197,5.94,95.0,ok
2024-06-01 00:04:16,M003,LINE_3,63.86,2.223,5.4,90.0,ok
2024-06-01 00:04:20,M017,LINE_1,62.35,0.153,5.82,110.0,ok
2024-06-01 00:04:32,M021,LINE_1,56.7,2.898,6.07,78.0,ok
2024-06-01 00:04:33,M009,LINE_1,63.99,2.758,6.69,61.0,ok
2024-06-01 00:04:38,M011,LINE_3,64.55,4.211,4.55,66.0,warn
2024-06-01 00:04:40,M005,LINE_1,66.52,2.57,5.89,116.0,ok
2024-06-01 00:04:40,M020,LINE_4,70.32,1.405,5.91,91.0,ok
2024-06-01 00:04:41,M020,LINE_4,66.66,1.263,5.5,91.0,ok
2024-06-01 00:04:49,M012,LINE_4,69.43,3.052,7.88,95.0,ok
2024-06-01 00:04:59,M005,LINE_1,64.36,1.803,6.7,82.0,ok
2024-06-01 00:05:03,M021,LINE_1,69.5,4.754,4.91,64.0,fault
2024-06-01 00:05:07,M003,LINE_3,61.2,1.612,6.9,90.0,ok
2024-06-01 00:05:07,M012,LINE_4,66.49,1.702,5.3,105.0,ok
2024-06-01 00:05:09,M015,LINE_3,76.91,1.3,5.36,98.0,ok
2024-06-01 00:05:12,M013,LINE_1,66.7,2.963,7.6,81.0,ok
2024-06-01 00:05:19,M016,LINE_4,68.59,2.508,6.72,91.0,ok
2024-06-01 00:05:28,M001,LINE_1,61.43,1.04,7.25,113.0,ok
2024-06-01 00:05:32,M019,LINE_3,68.48,2.101,5.44,123.0,ok
2024-06-01 00:05:37,M008,LINE_4,68.25,3.502,6.74,78.0,warn
2024-06-01 00:05:39,M003,LINE_3,61.39,2.161,6.86,82.0,ok
2024-06-01 00:05:46,M018,LINE_2,68.98,3.529,6.23,106.0,warn
2024-06-01 00:05:48,M017,LINE_1,57.51,2.602,7.41,87.0,ok
2024-06-01 00:05:50,M005,LINE_1,61.71,3.06,5.74,93.0,ok
2024-06-01 00:05:51,M019,LINE_3,67.36,3.098,5.54,87.0,ok
2024-06-01 00:05:58,M008,LINE_4,72.1,3.858,5.66,100.0,warn
2024-06-01 00:05:58,M016,LINE_4,65.42,2.668,7.11,37.0,ok
2024-06-01 00:06:00,M022,LINE_2,41.2,2.295,6.0,116.0,ok
2024-06-01 00:06:10,M009,LINE_1,81.15,2.213,6.07,101.0,ok
2024-06-01 00:06:17,M020,LINE_4,79.74,1.829,7.3,100.0,ok
2024-06-01 00:06:22,M006,LINE_2,63.62,3.53,7.01,108.0,warn
2024-06-01 00:06:29,M006,LINE_2,66.51,3.992,7.2,79.0,warn
2024-06-01 00:06:33,M010,LINE_2,62.61,4.345,6.01,95.0,warn
2024-06-01 00:06:41,M007,LINE_3,65.28,4.916,5.26,98.0,fault
2024-06-01 00:06:42,M024,LINE_4,71.08,2.217,6.54,101.0,ok
2024-06-01 00:06:46,M006,LINE_2,79.39,4.544,6.71,74.0,fault
2024-06-01 00:06:56,M001,LINE_1,65.44,0.552,6.37,89.0,ok
2024-06-01 00:06:57,M022,LINE_2,54.49,1.444,8.2,77.0,ok
2024-06-01 00:07:11,M024,LINE_4,48.94,2.379,5.06,92.0,ok
2024-06-01 00:07:21,M013,LINE_1,82.87,2.977,6.57,86.0,ok
2024-06-01 00:07:27,M007,LINE_3,69.22,1.728,7.05,84.0,ok
2024-06-01 00:07:42,M002,LINE_2,70.63,1.336,6.34,82.0,ok
2024-06-01 00:07:50,M013,LINE_1,66.29,1.397,6.78,87.0,ok
2024-06-01 00:07:51,M009,LINE_1,59.79,3.464,6.44,67.0,ok
2024-06-01 00:07:51,M002,LINE_2,66.94,2.764,5.86,121.0,ok
2024-06-01 00:07:51,M012,LINE_4,69.91,1.512,7.01,112.0,ok
2024-06-01 00:07:59,M008,LINE_4,88.47,4.748,6.34,102.0,fault
2024-06-01 00:08:01,M021,LINE_1,73.61,2.106,6.22,123.0,ok
2024-06-01 00:08:01,M001,LINE_1,47.85,2.261,4.6,83.0,ok
2024-06-01 00:08:06,M006,LINE_2,75.4,1.764,6.93,86.0,ok
2024-06-01 00:08:07,M018,LINE_2,68.29,3.135,5.47,122.0,ok
2024-06-01 00:08:10,M021,LINE_1,60.87,3.1,6.54,128.0,ok
2024-06-01 00:08:17,M005,LINE_1,61.19,2.006,6.15,85.0,ok
2024-06-01 00:08:32,M020,LINE_4,60.71,2.038,6.45,85.0,ok
2024-06-01 00:08:34,M011,LINE_3,69.31,2.921,5.17,117.0,ok
2024-06-01 00:08:44,M016,LINE_4,59.37,3.224,5.57,124.0,ok
2024-06-01 00:08:47,M018,LINE_2,80.69,2.465,6.7,95.0,ok
2024-06-01 00:08:50,M005,LINE_1,63.27,1.581,5.85,98.0,ok
2024-06-01 00:08:51,M007,LINE_3,85.03,2.121,6.31,131.0,ok
2024-06-01 00:08:53,M011,LINE_3,62.57,3.178,6.35,49.0,ok
2024-06-01 00:09:02,M004,LINE_4,68.05,3.554,6.32,105.0,warn
2024-06-01 00:09:02,M009,LINE_1,75.63,2.826,4.88,87.0,ok
2024-06-01 00:09:07,M015,LINE_3,77.14,2.019,6.77,112.0,ok
2024-06-01 00:09:07,M014,LINE_2,73.16,2.699,6.34,74.0,ok
2024-06-01 00:09:07,M010,LINE_2,71.3,2.533,5.87,78.0,ok
2024-06-01 00:09:12,M004,LINE_4,68.4,3.164,6.49,96.0,ok
2024-06-01 00:09:15,M008,LINE_4,76.47,4.551,6.09,104.0,fault
2024-06-01 00:09:26,M007,LINE_3,60.71,2.969,4.66,113.0,ok
2024-06-01 00:09:28,M018,LINE_2,68.98,4.231,7.18,97.0,warn
2024-06-01 00:09:29,M013,LINE_1,53.66,2.034,6.95,57.0,ok
2024-06-01 00:09:32,M005,LINE_1,71.44,3.24,5.51,86.0,ok
2024-06-01 00:09:42,M024,LINE_4,69.97,1.887,6.53,65.0,ok
2024-06-01 00:09:59,M003,LINE_3,58.74,2.703,5.83,104.0,ok
2024-06-01 00:10:00,M010,LINE_2,57.95,2.604,5.85,64.0,ok
2024-06-01 00:10:02,M010,LINE_2,72.51,2.037,6.37,133.0,ok
2024-06-01 00:10:15,M005,LINE_1,71.57,2.702,6.64,81.0,ok
2024-06-01 00:10:15,M005,LINE_1,59.9,2.785,5.99,75.0,ok
2024-06-01 00:10:17,M008,LINE_4,72.64,4.645,5.36,104.0,fault
2024-06-01 00:10:28,M024,LINE_4,64.74,3.338,4.61,91.0,ok
2024-06-01 00:10:37,M019,LINE_3,52.12,3.111,6.45,64.0,ok
2024-06-01 00:10:45,M016,LINE_4,59.89,1.655,6.33,80.0,ok
2024-06-01 00:10:53,M019,LINE_3,74.28,2.091,6.74,54.0,ok
2024-06-01 00:10:54,M024,LINE_4,65.89,2.171,5.35,103.0,ok
2024-06-01 00:10:56,M014,LINE_2,61.96,1.547,6.94,104.0,ok
2024-06-01 00:11:01,M017,LINE_1,50.8,1.375,6.36,69.0,ok
2024-06-01 00:11:02,M005,LINE_1,83.98,2.984,5.87,133.0,ok
2024-06-01 00:11:14,M004,LINE_4,78.55,3.58,6.77,126.0,warn
2024-06-01 00:11:14,M022,LINE_2,57.64,1.161,5.83,88.0,ok
2024-06-01 00:11:23,M018,LINE_2,71.8,4.995,7.65,102.0,fault
2024-06-01 00:11:23,M015,LINE_3,61.4,1.84,5.07,104.0,ok
2024-06-01 00:11:28,M009,LINE_1,79.23,3.005,5.63,91.0,ok
2024-06-01 00:11:31,M021,LINE_1,72.74,3.313,5.68,104.0,ok
2024-06-01 00:11:47,M021,LINE_1,71.97,3.917,6.05,77.0,warn
2024-06-01 00:11:50,M020,LINE_4,54.88,2.355,4.33,104.0,ok
2024-06-01 00:12:06,M014,LINE_2,55.75,1.349,5.73,34.0,ok
2024-06-01 00:12:08,M010,LINE_2,70.34,2.425,6.29,100.0,ok
2024-06-01 00:12:20,M022,LINE_2,60.03,0.483,5.65,99.0,ok
2024-06-01 00:12:28,M010,LINE_2,56.21,2.365,5.97,68.0,ok
2024-06-01 00:12:29,M022,LINE_2,53.7,3.165,6.93,69.0,ok
2024-06-01 00:12:39,M003,LINE_3,69.6,2.758,5.97,87.0,ok
2024-06-01 00:12:41,M002,LINE_2,60.36,4.177,5.96,80.0,warn
2024-06-01 00:12:47,M009,LINE_1,73.54,4.574,7.16,85.0,fault
2024-06-01 00:12:48,M011,LINE_3,70.4,3.803,5.04,97.0,warn
2024-06-01 00:12:51,M006,LINE_2,69.63,3.301,6.23,107.0,ok
2024-06-01 00:12:54,M001,LINE_1,53.55,1.257,5.75,64.0,ok
2024-06-01 00:12:54,M023,LINE_3,66.5,2.723,5.6,75.0,ok
2024-06-01 00:13:02,M004,LINE_4,78.47,5.095,5.65,97.0,fault
2024-06-01 00:13:09,M002,LINE_2,68.02,1.589,5.52,70.0,ok
2024-06-01 00:13:12,M001,LINE_1,58.36,1.696,5.4,76.0,ok
2024-06-01 00:13:23,M024,LINE_4,62.64,2.938,7.08,65.0,ok
2024-06-01 00:13:27,M007,LINE_3,64.43,2.49,5.64,105.0,ok
2024-06-01 00:13:37,M023,LINE_3,56.49,1.576,4.86,80.0,ok
2024-06-01 00:13:51,M006,LINE_2,68.21,3.757,7.01,93.0,warn
2024-06-01 00:13:51,M010,LINE_2,59.97,4.658,5.34,90.0,fault
2024-06-01 00:13:52,M009,LINE_1,80.04,4.252,6.81,109.0,warn
2024-06-01 00:13:53,M003,LINE_3,62.78,2.133,5.5,140.0,ok
2024-06-01 00:14:01,M020,LINE_4,57.98,3.481,7.2,86.0,ok
2024-06-01 00:14:03,M009,LINE_1,63.39,3.965,6.09,55.0,warn
2024-06-01 00:14:04,M010,LINE_2,72.93,1.829,5.94,102.0,ok
2024-06-01 00:14:04,M017,LINE_1,62.18,1.969,6.74,99.0,ok
2024-06-01 00:14:07,M006,LINE_2,91.2,4.416,6.2,125.0,warn
2024-06-01 00:14:07,M012,LINE_4,65.69,3.36,5.41,103.0,ok
2024-06-01 00:14:15,M016,LINE_4,63.38,0.859,5.07,85.0,ok
2024-06-01 00:14:18,M004,LINE_4,78.59,4.6,5.24,95.0,fault
2024-06-01 00:14:19,M022,LINE_2,69.9,1.938,4.48,102.0,ok
2024-06-01 00:14:25,M008,LINE_4,71.66,4.504,6.27,101.0,fault
2024-06-01 00:14:25,M015,LINE_3,56.7,3.188,6.11,78.0,ok
2024-06-01 00:14:30,M006,LINE_2,66.84,3.672,6.58,102.0,warn
2024-06-01 00:14:33,M019,LINE_3,71.09,1.784,5.84,115.0,ok
2024-06-01 00:14:36,M011,LINE_3,60.74,4.229,5.66,97.0,warn
2024-06-01 00:14:39,M021,LINE_1,70.14,3.891,6.69,102.0,warn
2024-06-01 00:14:47,M006,LINE_2,66.11,1.196,5.69,76.0,ok
2024-06-01 00:14:51,M005,LINE_1,65.42,2.109,6.95,95.0,ok
2024-06-01 00:14:52,M018,LINE_2,76.77,2.954,6.38,109.0,ok
2024-06-01 00:14:53,M002,LINE_2,64.04,2.121,6.74,110.0,ok
2024-06-01 00:14:56,M010,LINE_2,67.97,2.541,7.55,105.0,ok
2024-06-01 00:15:06,M016,LINE_4,57.05,2.685,5.32,121.0,ok
2024-06-01 00:15:18,M003,LINE_3,80.26,1.742,5.55,95.0,ok
2024-06-01 00:15:20,M016,LINE_4,53.44,2.201,5.14,105.0,ok
2024-06-01 00:15:24,M011,LINE_3,67.77,2.133,6.14,62.0,ok
2024-06-01 00:15:24,M010,LINE_2,73.26,2.658,6.74,94.0,ok
2024-06-01 00:15:25,M019,LINE_3,63.54,1.261,6.1,73.0,ok
2024-06-01 00:15:29,M002,LINE_2,67.94,2.071,5.29,95.0,ok
2024-06-01 00:15:33,M007,LINE_3,75.65,2.959,5.75,114.0,ok
2024-06-01 00:15:39,M011,LINE_3,54.67,5.278,6.18,120.0,fault
2024-06-01 00:15:42,M013,LINE_1,67.65,2.46,5.2,127.0,ok
2024-06-01 00:15:50,M022,LINE_2,67.19,2.904,6.09,97.0,ok
2024-06-01 00:15:54,M017,LINE_1,50.5,1.132,7.01,59.0,ok
2024-06-01 00:15:59,M005,LINE_1,67.91,3.103,4.99,114.0,ok
2024-06-01 00:16:05,M012,LINE_4,71.32,2.387,5.66,115.0,ok
2024-06-01 00:16:05,M010,LINE_2,64.51,2.407,6.26,70.0,ok
2024-06-01 00:16:08,M006,LINE_2,63.85,2.314,5.41,93.0,ok
2024-06-01 00:16:20,M002,LINE_2,58.06,1.428,5.02,87.0,ok
2024-06-01 00:16:21,M017,LINE_1,49.19,0.0,4.79,104.0,ok
2024-06-01 00:16:23,M005,LINE_1,65.3,2.936,6.17,101.0,ok
2024-06-01 00:16:25,M008,LINE_4,78.1,4.4,6.0,90.0,warn
2024-06-01 00:16:26,M009,LINE_1,62.97,3.783,5.05,90.0,warn
2024-06-01 00:16:26,M017,LINE_1,56.47,1.1,5.59,95.0,ok
2024-06-01 00:16:37,M020,LINE_4,54.26,2.662,4.94,114.0,ok
2024-06-01 00:16:42,M020,LINE_4,59.41,1.338,6.2,110.0,ok
2024-06-01 00:16:52,M001,LINE_1,48.01,0.114,5.86,116.0,ok
2024-06-01 00:16:56,M015,LINE_3,61.39,2.244,5.66,102.0,ok
2024-06-01 00:16:58,M016,LINE_4,50.67,1.123,8.34,100.0,ok
2024-06-01 00:16:58,M022,LINE_2,80.81,3.197,6.36,98.0,ok
2024-06-01 00:17:01,M022,LINE_2,68.15,2.998,7.57,108.0,ok
2024-06-01 00:17:03,M012,LINE_4,59.08,2.236,7.18,123.0,ok
2024-06-01 00:17:10,M019,LINE_3,55.92,0.782,4.21,73.0,ok
2024-06-01 00:17:16,M011,LINE_3,61.59,2.116,5.9,81.0,ok
2024-06-01 00:17:30,M004,LINE_4,60.97,4.949,5.63,106.0,fault
2024-06-01 00:17:31,M015,LINE_3,77.98,2.574,6.16,82.0,ok
2024-06-01 00:17:31,M021,LINE_1,71.51,2.575,6.51,102.0,ok
2024-06-01 00:17:35,M014,LINE_2,55.94,0.48,6.66,101.0,ok
2024-06-01 00:17:44,M023,LINE_3,66.81,3.814,5.99,77.0,warn
2024-06-01 00:17:45,M018,LINE_2,77.21,2.695,6.83,95.0,ok
2024-06-01 00:17:58,M011,LINE_3,63.49,3.432,6.24,64.0,ok
2024-06-01 00:18:00,M011,LINE_3,62.57,2.654,7.6,118.0,ok
2024-06-01 00:18:16,M022,LINE_2,51.91,3.029,6.18,94.0,ok
2024-06-01 00:18:17,M011,LINE_3,58.7,2.755,5.92,93.0,ok
2024-06-01 00:18:17,M008,LINE_4,69.8,3.302,6.02,149.0,ok
2024-06-01 00:18:21,M016,LINE_4,63.79,3.151,5.6,87.0,ok
2024-06-01 00:18:24,M021,LINE_1,82.49,4.32,5.61,57.0,warn
2024-06-01 00:18:30,M004,LINE_4,67.53,4.488,6.7,103.0,warn
2024-06-01 00:18:35,M006,LINE_2,73.88,3.981,6.68,93.0,warn
2024-06-01 00:18:48,M015,LINE_3,57.36,2.956,6.14,81.0,ok
2024-06-01 00:18:48,M005,LINE_1,64.99,2.558,6.9,91.0,ok
2024-06-01 00:18:52,M006,LINE_2,71.28,1.645,6.11,65.0,ok
2024-06-01 00:18:56,M017,LINE_1,42.44,2.994,6.24,54.0,ok
2024-06-01 00:18:57,M006,LINE_2,79.0,3.092,4.38,113.0,ok
2024-06-01 00:19:01,M015,LINE_3,54.0,1.322,4.78,127.0,ok
2024-06-01 00:19:04,M023,LINE_3,67.83,1.973,5.01,69.0,ok
2024-06-01 00:19:14,M001,LINE_1,56.63,0.0,5.33,72.0,ok
2024-06-01 00:19:14,M008,LINE_4,62.34,4.109,7.01,106.0,warn
2024-06-01 00:19:26,M013,LINE_1,62.61,0.739,5.13,103.0,ok
2024-06-01 00:19:26,M001,LINE_1,49.96,0.416,6.5,104.0,ok
2024-06-01 00:19:30,M008,LINE_4,79.21,2.571,5.48,82.0,ok
2024-06-01 00:19:36,M010,LINE_2,69.58,3.195,5.5,60.0,ok
2024-06-01 00:19:45,M001,LINE_1,46.29,1.821,4.98,92.0,ok
2024-06-01 00:19:46,M011,LINE_3,54.71,2.56,6.13,88.0,ok
2024-06-01 00:19:47,M002,LINE_2,67.85,2.806,5.95,91.0,ok
2024-06-01 00:19:52,M005,LINE_1,69.23,4.535,5.39,92.0,fault
2024-06-01 00:19:54,M007,LINE_3,85.48,2.758,5.94,147.0,ok
2024-06-01 00:20:01,M016,LINE_4,65.35,2.475,6.57,84.0,ok
2024-06-01 00:20:04,M001,LINE_1,59.6,1.371,7.18,120.0,ok
2024-06-01 00:20:05,M006,LINE_2,76.71,4.317,6.16,88.0,warn
2024-06-01 00:20:24,M006,LINE_2,68.79,3.886,6.82,80.0,warn
2024-06-01 00:20:31,M018,LINE_2,67.59,2.272,6.81,122.0,ok
2024-06-01 00:20:34,M021,LINE_1,66.71,2.692,7.73,101.0,ok
2024-06-01 00:20:37,M015,LINE_3,63.36,3.393,6.0,88.0,ok
2024-06-01 00:20:37,M005,LINE_1,64.46,2.797,6.0,88.0,ok
2024-06-01 00:20:42,M014,LINE_2,59.31,0.686,5.56,73.0,ok
2024-06-01 00:20:46,M004,LINE_4,82.69,2.913,6.28,81.0,ok
2024-06-01 00:20:49,M004,LINE_4,82.88,3.702,5.4,91.0,warn
2024-06-01 00:20:52,M006,LINE_2,79.15,4.42,5.15,99.0,warn
2024-06-01 00:20:58,M003,LINE_3,61.39,3.366,6.65,109.0,ok
2024-06-01 00:21:03,M007,LINE_3,68.78,3.771,6.6,105.0,warn
2024-06-01 00:21:08,M015,LINE_3,66.51,2.783,5.75,76.0,ok
2024-06-01 00:21:09,M009,LINE_1,87.37,2.706,7.39,126.0,ok
2024-06-01 00:21:16,M016,LINE_4,63.12,1.598,6.41,79.0,ok
2024-06-01 00:21:18,M024,LINE_4,66.68,0.92,4.34,104.0,ok
2024-06-01 00:21:21,M011,LINE_3,72.05,4.236,5.77,104.0,warn
2024-06-01 00:21:22,M022,LINE_2,74.6,2.071,5.96,93.0,ok
2024-06-01 00:21:26,M019,LINE_3,64.02,3.169,5.85,108.0,ok
2024-06-01 00:21:26,M023,LINE_3,57.68,1.327,4.98,118.0,ok
2024-06-01 00:21:33,M005,LINE_1,60.51,1.295,6.06,149.0,ok
2024-06-01 00:21:34,M019,LINE_3,65.56,1.836,4.92,112.0,ok
2024-06-01 00:21:41,M017,LINE_1,59.61,0.902,6.02,97.0,ok
2024-06-01 00:21:43,M001,LINE_1,45.63,1.904,5.32,99.0,ok
2024-06-01 00:21:51,M011,LINE_3,80.19,2.106,5.95,87.0,ok
2024-06-01 00:21:56,M001,LINE_1,55.79,0.732,6.22,82.0,ok
2024-06-01 00:21:58,M016,LINE_4,67.9,2.482,6.78,85.0,ok
2024-06-01 00:21:59,M009,LINE_1,77.29,3.818,4.95,85.0,warn
2024-06-01 00:22:12,M017,LINE_1,55.82,0.829,5.6,66.0,ok
2024-06-01 00:22:16,M007,LINE_3,70.82,1.282,6.34,81.0,ok
2024-06-01 00:22:21,M001,LINE_1,50.19,0.642,6.22,91.0,ok
2024-06-01 00:22:25,M011,LINE_3,69.03,2.914,5.16,116.0,ok
2024-06-01 00:22:31,M006,LINE_2,70.42,2.286,6.03,101.0,ok
2024-06-01 00:22:32,M016,LINE_4,58.75,3.643,6.05,91.0,warn
2024-06-01 00:22:54,M006,LINE_2,71.77,3.173,5.98,80.0,ok
2024-06-01 00:22:55,M023,LINE_3,64.12,1.115,6.01,81.0,ok
2024-06-01 00:23:06,M024,LINE_4,65.18,1.704,6.24,63.0,ok
2024-06-01 00:23:14,M016,LINE_4,62.87,2.105,5.54,115.0,ok
2024-06-01 00:23:22,M008,LINE_4,70.59,3.873,6.01,81.0,warn
2024-06-01 00:23:24,M006,LINE_2,69.68,3.105,6.34,140.0,ok
2024-06-01 00:23:30,M022,LINE_2,69.5,2.961,6.04,120.0,ok
2024-06-01 00:23:31,M003,LINE_3,62.93,2.702,5.77,127.0,ok
2024-06-01 00:23:41,M009,LINE_1,74.45,3.147,5.86,61.0,ok
2024-06-01 00:23:51,M023,LINE_3,64.59,2.232,5.38,81.0,ok
2024-06-01 00:23:54,M016,LINE_4,71.68,2.66,6.12,76.0,ok
2024-06-01 00:23:55,M010,LINE_2,82.13,2.342,6.82,75.0,ok
2024-06-01 00:23:58,M023,LINE_3,58.86,1.207,4.54,125.0,ok
2024-06-01 00:24:00,M007,LINE_3,82.08,4.107,5.93,99.0,warn
2024-06-01 00:24:00,M011,LINE_3,71.89,2.552,6.32,83.0,ok
2024-06-01 00:24:00,M022,LINE_2,65.11,1.185,5.57,102.0,ok
2024-06-01 00:24:05,M017,LINE_1,44.04,1.067,5.65,136.0,ok
2024-06-01 00:24:07,M003,LINE_3,64.48,1.744,5.7,84.0,ok
2024-06-01 00:24:11,M014,LINE_2,71.38,0.367,6.9,107.0,ok
2024-06-01 00:24:14,M019,LINE_3,69.69,3.87,5.95,113.0,warn
2024-06-01 00:24:16,M024,LINE_4,69.42,1.519,5.87,80.0,ok
2024-06-01 00:24:17,M009,LINE_1,61.33,3.011,5.79,76.0,ok
2024-06-01 00:24:24,M012,LINE_4,58.33,3.041,5.2,79.0,ok
2024-06-01 00:24:30,M017,LINE_1,53.2,0.529,6.64,109.0,ok
2024-06-01 00:24:31,M006,LINE_2,80.49,3.478,6.01,115.0,ok
2024-06-01 00:24:35,M015,LINE_3,65.05,2.126,5.53,87.0,ok
2024-06-01 00:24:36,M011,LINE_3,63.08,4.044,5.37,121.0,warn
2024-06-01 00:24:43,M024,LINE_4,71.12,1.842,6.31,118.0,ok
2024-06-01 00:24:44,M021,LINE_1,68.79,2.466,4.93,110.0,ok
2024-06-01 00:24:46,M004,LINE_4,78.04,2.65,6.93,90.0,ok
2024-06-01 00:24:47,M014,LINE_2,53.54,3.089,4.81,107.0,ok
2024-06-01 00:24:49,M013,LINE_1,71.68,2.564,5.72,52.0,ok
2024-06-01 00:24:50,M001,LINE_1,52.84,0.899,5.61,66.0,ok
2024-06-01 00:25:02,M008,LINE_4,59.86,3.513,4.71,85.0,warn
2024-06-01 00:25:05,M018,LINE_2,79.41,4.055,5.5,77.0,warn
2024-06-01 00:25:12,M018,LINE_2,65.7,5.999,5.24,63.0,fault
2024-06-01 00:25:19,M005,LINE_1,54.84,0.096,6.71,129.0,ok
2024-06-01 00:25:35,M007,LINE_3,59.62,4.232,5.75,106.0,warn
2024-06-01 00:25:46,M001,LINE_1,62.2,1.864,5.19,97.0,ok
2024-06-01 00:25:49,M004,LINE_4,80.94,3.59,6.28,153.0,warn
2024-06-01 00:26:01,M020,LINE_4,59.08,2.161,4.97,91.0,ok
2024-06-01 00:26:05,M018,LINE_2,68.49,2.343,5.91,105.0,ok
2024-06-01 00:26:12,M017,LINE_1,57.23,0.585,6.28,143.0,ok
2024-06-01 00:26:19,M021,LINE_1,63.37,1.698,5.03,105.0,ok
2024-06-01 00:26:20,M020,LINE_4,69.33,3.464,6.98,112.0,ok
2024-06-01 00:26:22,M005,LINE_1,66.11,2.787,6.4,84.0,ok
2024-06-01 00:26:23,M004,LINE_4,71.53,4.515,6.38,78.0,fault
2024-06-01 00:26:43,M019,LINE_3,65.9,1.325,4.47,101.0,ok
2024-06-01 00:27:02,M005,LINE_1,66.56,1.648,5.05,61.0,ok
2024-06-01 00:27:05,M012,LINE_4,53.77,2.287,6.06,128.0,ok
2024-06-01 00:27:15,M010,LINE_2,69.02,2.953,5.62,90.0,ok
2024-06-01 00:27:18,M003,LINE_3,68.0,2.733,6.38,110.0,ok
2024-06-01 00:27:18,M021,LINE_1,69.42,3.747,5.92,94.0,warn
