customer_id,signup_date,gender,senior_citizen,partner,dependents,state,tenure_months,contract,payment_method,paperless_billing,internet_service,online_security,tech_support,monthly_charges,total_charges,churn
TEL00026,2023-01-07,Male,0,No,No,Delhi,18,Two year,Electronic check,Yes,Fiber optic,No,No,59.71,1074.78,No
TEL00027,2018-08-01,Female,0,No,No,Gujarat,72,One year,Credit card,Yes,Fiber optic,No,Yes,77.56,5584.32,No
TEL00028,2021-11-13,Male,0,No,No,Karnataka,32,Month-to-month,Electronic check,Yes,DSL,No,No,45.35,1451.2,No
TEL00029,2021-09-14,Female,0,No,No,Maharashtra,34,Two year,Mailed check,Yes,Fiber optic,No,Yes,83.13,2826.42,No
TEL00030,2021-07-16,Male,0,Yes,No,West Bengal,36,Month-to-month,Bank transfer,No,DSL,No,No,55.42,1995.12,No
TEL00031,2021-01-17,,0,Yes,No,Karnataka,42,month-to-month ,Electronic check,No,DSL,Yes,No,53.53,2248.26,Yes
TEL00032,2021-03-18,Female,0,Yes,No,Maharashtra,40,Month-to-month,Electronic check,No,DSL,No,No,44.44,1777.6,No
TEL00033,2021-06-16,Female,0,No,No,Karnataka,37,Month-to-month,Mailed check,No,Fiber optic,No,No,65.46,2422.02,No
TEL00034,2018-08-01,Male,0,No,No,Gujarat,72,Month-to-month,Bank transfer,Yes,DSL,No,No,43.49,3131.28,No
TEL00035,2019-09-25,Male,0,No,No,Gujarat,58,Month-to-month,Bank transfer,Yes,DSL,,No,57.48,3333.84,No
TEL00036,2019-10-25,Female,0,No,Yes,West Bengal,57,Month-to-month,Bank transfer,No,DSL,Yes,No,54.82,3124.74,Yes
TEL00037,2020-04-22,Male,0,No,No,West Bengal,51,Month-to-month,Electronic check,No,No,No internet service,No internet service,24.93,1271.43,No
TEL00038,2020-10-19,Male,0,Yes,No,West Bengal,45,One year,Electronic check,Yes,Fiber optic,Yes,Yes,66.59,2996.55,Yes
TEL00039,2022-07-11,Female,0,Yes,No,Karnataka,24,Month-to-month,Credit card,Yes,DSL,No,No,38.85,932.4,No
TEL00040,2018-08-01,Male,0,No,No,Karnataka,72,Two year,Electronic check,Yes,Fiber optic,Yes,No,69.47,5001.84,No
TEL00041,2021-09-14,Male,0,No,No,West Bengal,34,Two year,Mailed check,Yes,Fiber optic,No,No,65.62,2231.08,No
TEL00042,2023-04-07,Male,0,Yes,Yes,West Bengal,15,Two year,Credit card,Yes,Fiber optic,Yes,No,66.51,997.65,No
TEL00043,2019-06-27,Male,0,No,Yes,Tamil Nadu,61,One year,Electronic check,Yes,DSL,Yes,No,55.38,3378.18,No
TEL00044,2023-08-05,Male,0,Yes,Yes,Karnataka,11,Two year,Credit card,No,Fiber optic,No,No,78.4,862.4,No
TEL00045,2019-05-28,Female,0,No,Yes,Maharashtra,62,Month-to-month,Bank transfer,No,Fiber optic,No,No,84.45,5235.9,No
TEL00046,2020-11-18,Male,0,No,No,West Bengal,44,Two year,Mailed check,No,Fiber optic,No,Yes,70.76,3113.44,No
TEL00047,2023-11-03,Male,0,Yes,Yes,Tamil Nadu,8,One year,Electronic check,Yes,Fiber optic,Yes,No,74.15,593.2,Yes
TEL00048,2024-04-01,Female,0,No,Yes,Tamil Nadu,3,Month-to-month,Mailed check,Yes,No,No internet service,No internet service,20.7,62.1,Yes
TEL00049,2021-11-13,,0,No,No,Maharashtra,32,One year,Credit card,No,Fiber optic,Yes,No,74.89,2396.48,No
TEL00050,2024-05-01,Female,0,No,Yes,Maharashtra,2,Month-to-month,Electronic check,Yes,DSL,No,No,38.26,76.52,Yes
TEL00051,2023-09-04,Male,1,No,No,Delhi,10,Month-to-month,Electronic check,No,No,No internet service,No internet service,26.33,263.3,Yes
TEL00052,2021-06-16,Female,0,Yes,No,West Bengal,37,Month-to-month,Mailed check,Yes,DSL,No,Yes,33.82,1251.34,No
TEL00053,2018-09-30,Female,0,No,No,Gujarat,70,Two year,Credit card,Yes,No,No internet service,No internet service,18.0,1260.0,No
TEL00054,2021-09-14,Male,1,No,No,Karnataka,34,Month-to-month,Mailed check,No,No,No internet service,No internet service,18.0,612.0,Yes
TEL00055,2019-08-26,Female,0,Yes,No,Maharashtra,59,Month-to-month,Mailed check,Yes,Fiber optic,No,Yes,79.97,4718.23,No
TEL00056,2019-01-28,Male,0,No,Yes,Tamil Nadu,66,Two year,Credit card,Yes,DSL,No,Yes,38.84,2563.44,No
TEL00057,2019-07-27,Female,0,Yes,Yes,Telangana,60,One year,Mailed check,Yes,DSL,No,No,35.72,2143.2,No
TEL00058,2020-10-19,Male,0,Yes,No,West Bengal,45,One year,Bank transfer,No,Fiber optic,No,No,69.85,3143.25,Yes
TEL00059,2021-11-13,Female,1,Yes,No,Tamil Nadu,32,Two year,Bank transfer,Yes,Fiber optic,No,No,61.63,1972.16,No
TEL00060,2021-06-16,Female,0,Yes,No,Karnataka,37,one year ,Mailed check,Yes,DSL,No,Yes,51.95,1922.15,No
TEL00061,2022-12-08,Female,0,No,Yes,Tamil Nadu,19,Month-to-month,Mailed check,No,Fiber optic,Yes,No,71.86,1365.34,No
TEL00062,2021-07-16,Male,1,Yes,Yes,Telangana,36,month-to-month ,Bank transfer,No,DSL,No,No,60.63,2182.68,Yes
TEL00063,2022-04-12,Female,0,Yes,No,Maharashtra,27,Month-to-month,Credit card,Yes,Fiber optic,No,Yes,65.21,1760.67,No
TEL00064,2023-01-07,Female,0,No,No,West Bengal,18,One year,Electronic check,Yes,No,No internet service,No internet service,18.0,324.0,No
TEL00065,2018-08-01,Male,0,No,No,Maharashtra,72,Month-to-month,Electronic check,No,Fiber optic,No,Yes,79.52,5725.44,Yes
TEL00066,2024-06-30,Male,0,No,No,Maharashtra,0,Month-to-month,Electronic check,Yes,Fiber optic,No,Yes,75.91,,Yes
TEL00067,2023-12-03,Female,0,No,No,Karnataka,7,Two year,Credit card,Yes,Fiber optic,Yes,No,78.54,549.78,No
TEL00068,2023-05-07,Male,0,No,No,Gujarat,14,Two year,Electronic check,Yes,Fiber optic,No,No,67.64,946.96,No
TEL00069,2018-09-30,Female,0,Yes,No,Tamil Nadu,70,Two year,Mailed check,Yes,No,No internet service,No internet service,27.55,1928.5,No
TEL00070,2020-05-22,Female,1,No,No,Karnataka,50,Month-to-month,Mailed check,No,No,No internet service,No internet service,22.75,1137.5,No
TEL00071,2019-03-29,Female,0,Yes,Yes,Karnataka,64,Two year,Credit card,No,No,No internet service,No internet service,30.54,1954.56,No
TEL00072,2023-05-07,Female,1,No,Yes,Tamil Nadu,14,Month-to-month,Electronic check,Yes,DSL,No,No,34.13,477.82,No
TEL00073,2020-03-23,Male,0,No,Yes,Gujarat,52,Two year,Electronic check,No,DSL,,No,52.0,2704.0,No
TEL00074,2022-05-12,Male,0,,No,West Bengal,26,One year,Credit card,Yes,DSL,No,No,43.19,1122.94,No
TEL00075,2021-08-15,Male,0,No,No,Telangana,35,Two year,Mailed check,Yes,DSL,No,Yes,53.17,1860.95,No
TEL00076,2024-06-30,,0,No,No,Maharashtra,0,Two year,Mailed check,No,Fiber optic,No,No,62.45,,No
TEL00077,2020-10-19,Male,0,No,No,Gujarat,45,Month-to-month,Credit card,Yes,DSL,No,Yes,56.46,2540.7,No
TEL00078,2019-07-27,Female,0,Yes,No,Gujarat,60,Month-to-month,Electronic check,Yes,Fiber optic,No,No,59.31,3558.6,No
TEL00079,2020-07-21,Male,0,No,No,Telangana,48,Two year,Electronic check,Yes,DSL,Yes,Yes,62.08,2979.84,No
TEL00080,2023-08-05,Female,0,No,No,Gujarat,11,Month-to-month,Credit card,Yes,No,No internet service,No internet service,24.36,267.96,No
TEL00081,2021-05-17,Female,0,No,Yes,Maharashtra,38,Month-to-month,Credit card,No,Fiber optic,Yes,No,60.56,2301.28,No
TEL00082,2022-12-08,Male,0,Yes,No,Telangana,19,One year,Mailed check,Yes,DSL,No,Yes,53.17,1010.23,No
TEL00083,2018-09-30,Female,1,No,Yes,Delhi,70,Month-to-month,Electronic check,Yes,Fiber optic,No,No,54.46,3812.2,No
TEL00084,2019-03-29,Female,0,Yes,No,West Bengal,64,Month-to-month,Bank transfer,Yes,Fiber optic,Yes,Yes,84.51,5408.64,No
TEL00085,2023-06-06,Male,0,No,No,West Bengal,13,Month-to-month,Electronic check,No,DSL,No,No,32.14,417.82,Yes
TEL00086,2021-06-16,Male,1,No,Yes,Delhi,37,Month-to-month,Mailed check,Yes,Fiber optic,No,No,69.42,2568.54,Yes
TEL00087,2018-11-29,Male,0,No,No,Gujarat,68,Two year,Electronic check,No,DSL,No,Yes,47.82,3251.76,No
TEL00088,2019-06-27,Female,0,No,No,Telangana,61,Two year,Mailed check,Yes,No,No internet service,No internet service,18.0,1098.0,No
TEL00089,2020-04-22,Male,0,Yes,No,Telangana,51,Two year,Electronic check,No,Fiber optic,No,No,55.13,2811.63,No
TEL00090,2020-09-19,Male,0,No,No,Karnataka,46,One year,Mailed check,Yes,Fiber optic,No,No,74.0,3404.0,No
TEL00091,2024-04-01,Male,0,Yes,Yes,Telangana,3,One year,Mailed check,Yes,Fiber optic,,No,66.12,198.36,No
TEL00092,2020-01-23,Female,0,Yes,No,Maharashtra,54,Month-to-month,Credit card,Yes,No,No internet service,No internet service,28.7,1549.8,No
TEL00093,2021-09-14,Female,0,Yes,No,Maharashtra,34,Two year,Mailed check,No,No,No internet service,No internet service,19.61,666.74,Yes
TEL00094,2024-01-02,Female,0,Yes,No,Karnataka,6,Month-to-month,Mailed check,Yes,Fiber optic,No,No,92.07,552.42,Yes
TEL00095,2023-02-06,Male,0,No,Yes,Karnataka,17,Month-to-month,Electronic check,Yes,Fiber optic,No,Yes,76.41,1298.97,Yes
TEL00096,2021-04-17,Female,1,No,No,Maharashtra,39,Month-to-month,Electronic check,No,No,No internet service,No internet service,34.15,1331.85,Yes
TEL00097,2020-02-22,Male,0,Yes,Yes,West Bengal,53,Month-to-month,Electronic check,Yes,Fiber optic,Yes,No,77.82,4124.46,No
TEL00098,2021-06-16,Male,0,,No,Gujarat,37,Month-to-month,Credit card,Yes,Fiber optic,No,No,70.7,2615.9,No
TEL00099,2020-11-18,Female,0,No,No,Gujarat,44,One year,Electronic check,Yes,No,No internet service,No internet service,24.36,1071.84,No
TEL00100,2019-04-28,Male,1,No,No,Gujarat,63,Month-to-month,Bank transfer,Yes,No,No internet service,No internet service,18.0,1134.0,No
TEL00101,2020-05-22,Female,0,No,Yes,West Bengal,50,One year,Credit card,No,DSL,No,No,39.86,1993.0,Yes
TEL00102,2022-05-12,Female,0,No,No,Maharashtra,26,One year,Credit card,Yes,Fiber optic,No,Yes,88.31,2296.06,No
TEL00103,2020-09-19,Male,0,Yes,No,Delhi,46,One year,Bank transfer,Yes,DSL,No,Yes,48.52,2231.92,No
TEL00104,2020-12-18,Female,1,No,No,Delhi,43,One year,Electronic check,Yes,No,No internet service,No internet service,18.0,774.0,No
TEL00105,2023-12-03,Male,0,Yes,No,Delhi,7,two year ,Credit card,No,DSL,Yes,Yes,59.17,414.19,No
TEL00106,2024-03-02,Female,0,Yes,No,Telangana,4,Month-to-month,Mailed check,Yes,Fiber optic,No,No,63.36,253.44,Yes
TEL00107,2020-07-21,Male,0,No,Yes,Delhi,48,One year,Mailed check,No,Fiber optic,No,Yes,75.72,3634.56,No
TEL00108,2022-03-13,Male,0,Yes,No,West Bengal,28,Month-to-month,Credit card,Yes,DSL,Yes,No,59.21,1657.88,Yes
TEL00109,2020-12-18,Female,0,Yes,No,Maharashtra,43,Month-to-month,Electronic check,Yes,DSL,No,Yes,60.48,2600.64,No
TEL00110,2022-08-10,Male,0,No,No,Maharashtra,23,Month-to-month,Bank transfer,No,Fiber optic,Yes,Yes,94.73,2178.79,No
TEL00111,2023-03-08,Male,0,Yes,Yes,West Bengal,16,Two year,Bank transfer,Yes,DSL,Yes,No,59.54,952.64,No
TEL00112,2023-09-04,Female,0,Yes,No,Karnataka,10,Two year,Bank transfer,Yes,Fiber optic,No,No,75.41,754.1,No
TEL00113,2022-04-12,Male,0,Yes,Yes,Karnataka,27,Month-to-month,Electronic check,Yes,Fiber optic,No,No,74.55,2012.85,No
TEL00114,2019-08-26,Female,0,Yes,Yes,Delhi,59,Month-to-month,Credit card,No,Fiber optic,Yes,No,77.56,4576.04,No
TEL00115,2022-02-11,Female,0,No,Yes,Telangana,29,Month-to-month,Electronic check,No,No,No internet service,No internet service,19.89,576.81,No
TEL00116,2022-04-12,Female,0,Yes,No,West Bengal,27,Month-to-month,Electronic check,No,No,No internet service,No internet service,38.44,1037.88,No
TEL00117,2021-01-17,Male,1,Yes,No,Telangana,42,Month-to-month,Credit card,Yes,DSL,Yes,No,49.6,2083.2,No
TEL00118,2018-08-31,Female,0,No,Yes,Karnataka,71,Month-to-month,Credit card,Yes,Fiber optic,Yes,No,88.66,6294.86,No
TEL00119,2022-03-13,Female,0,Yes,No,Gujarat,28,One year,Electronic check,No,DSL,No,Yes,49.29,1380.12,No
TEL00120,2020-12-18,Male,0,Yes,No,Karnataka,43,month-to-month ,Mailed check,Yes,No,No internet service,No internet service,29.98,1289.14,No
TEL00121,2021-11-13,Female,0,No,No,Maharashtra,32,Month-to-month,Credit card,Yes,No,No internet service,No internet service,18.0,576.0,No
TEL00122,2020-11-18,Male,0,Yes,Yes,Maharashtra,44,Month-to-month,Mailed check,No,Fiber optic,Yes,No,76.5,3366.0,No
TEL00123,2021-11-13,Female,0,Yes,No,Gujarat,32,One year,Electronic check,Yes,DSL,Yes,Yes,50.27,1608.64,No
TEL00124,2020-09-19,Female,0,Yes,Yes,Tamil Nadu,46,Month-to-month,Mailed check,No,No,No internet service,No internet service,32.93,1514.78,No
TEL00125,2021-04-17,Female,0,Yes,No,Karnataka,39,Two year,Bank transfer,Yes,Fiber optic,No,No,82.38,3212.82,No
TEL00126,2020-06-21,Female,1,Yes,No,Maharashtra,49,Month-to-month,Bank transfer,No,No,No internet service,No internet service,18.0,882.0,No
TEL00127,2018-10-30,Female,0,,No,West Bengal,69,Month-to-month,Electronic check,Yes,Fiber optic,No,No,69.73,4811.37,Yes
TEL00128,2023-08-05,Male,0,Yes,No,Gujarat,11,One year,Electronic check,No,No,No internet service,No internet service,27.8,305.8,No
TEL00129,2021-03-18,Female,1,Yes,No,Telangana,40,Two year,Bank transfer,No,Fiber optic,Yes,No,77.82,3112.8,No
TEL00130,2021-11-13,Male,0,No,No,Delhi,32,Month-to-month,Electronic check,No,Fiber optic,Yes,Yes,81.19,2598.08,No
TEL00131,2022-05-12,Male,0,Yes,No,Karnataka,26,Month-to-month,Electronic check,No,DSL,No,No,53.27,1385.02,Yes
TEL00132,2023-02-06,Male,1,Yes,No,Delhi,17,Two year,Electronic check,Yes,No,No internet service,No internet service,18.0,306.0,No
TEL00133,2024-04-01,Female,0,Yes,Yes,Telangana,3,Two year,Electronic check,Yes,DSL,No,Yes,63.41,190.23,No
TEL00134,2022-02-11,Female,0,Yes,No,Tamil Nadu,29,Month-to-month,Electronic check,No,DSL,No,No,49.1,1423.9,Yes
TEL00135,2019-07-27,Female,0,Yes,No,Maharashtra,60,Month-to-month,Mailed check,Yes,Fiber optic,No,Yes,52.37,3142.2,No
TEL00136,2023-12-03,Male,0,No,Yes,Gujarat,7,two year ,Electronic check,Yes,DSL,Yes,Yes,48.2,337.4,No
TEL00137,2022-02-11,Male,0,No,No,Tamil Nadu,29,Month-to-month,Bank transfer,Yes,Fiber optic,No,No,69.91,2027.39,Yes
TEL00138,2018-09-30,Male,0,No,Yes,Tamil Nadu,70,Month-to-month,Electronic check,Yes,Fiber optic,No,Yes,93.8,6566.0,No
TEL00139,2018-10-30,Female,0,Yes,Yes,Telangana,69,One year,Mailed check,Yes,DSL,No,No,45.52,3140.88,No
TEL00140,2023-04-07,Female,0,No,Yes,Tamil Nadu,15,One year,Credit card,Yes,DSL,Yes,Yes,43.52,652.8,No
TEL00141,2024-06-30,,0,No,No,West Bengal,0,one year ,Mailed check,Yes,No,No internet service,No internet service,31.58,,Yes
TEL00142,2020-06-21,Female,0,No,No,Karnataka,49,Two year,Credit card,Yes,Fiber optic,No,No,73.85,3618.65,No
TEL00143,2024-05-31,Female,0,No,No,Telangana,1,Two year,Electronic check,Yes,Fiber optic,No,Yes,75.63,75.63,No
TEL00144,2022-10-09,Male,0,Yes,No,Tamil Nadu,21,Month-to-month,Bank transfer,No,No,No internet service,No internet service,29.11,611.31,No
TEL00145,2021-07-16,Male,0,No,No,West Bengal,36,month-to-month ,Electronic check,No,DSL,No,Yes,47.6,1713.6,No
TEL00146,2019-04-28,Male,1,No,No,Telangana,63,Two year,Credit card,Yes,Fiber optic,Yes,No,74.82,4713.66,No
TEL00147,2024-01-02,Female,0,No,No,Karnataka,6,Month-to-month,Credit card,Yes,DSL,No,No,53.8,322.8,No
TEL00148,2020-07-21,Female,1,No,No,Delhi,48,Two year,Bank transfer,Yes,No,No internet service,No internet service,24.32,1167.36,No
TEL00149,2021-05-17,Male,0,Yes,No,West Bengal,38,One year,Electronic check,Yes,No,No internet service,No internet service,28.6,1086.8,No
TEL00150,2023-10-04,Male,0,No,No,Maharashtra,9,Two year,Bank transfer,Yes,Fiber optic,Yes,No,72.86,655.74,No
TEL00151,2019-06-27,Male,0,Yes,No,Gujarat,61,One year,Credit card,Yes,Fiber optic,No,No,84.34,5144.74,No
TEL00152,2019-06-27,Female,0,Yes,No,Tamil Nadu,61,Month-to-month,Bank transfer,Yes,Fiber optic,Yes,Yes,69.43,4235.23,No
TEL00153,2021-08-15,Female,0,No,No,Maharashtra,35,One year,Bank transfer,No,Fiber optic,Yes,Yes,69.82,2443.7,Yes
TEL00154,2018-11-29,Female,0,No,No,Gujarat,68,Month-to-month,Electronic check,No,Fiber optic,No,No,74.9,5093.2,No
TEL00155,2020-11-18,Male,1,Yes,No,Maharashtra,44,Month-to-month,Bank transfer,No,DSL,Yes,Yes,53.41,2350.04,No
TEL00156,2019-02-27,Male,0,No,No,Karnataka,65,Month-to-month,Electronic check,No,Fiber optic,No,No,72.51,4713.15,No
TEL00157,2018-09-30,Female,0,Yes,No,Tamil Nadu,70,Month-to-month,Mailed check,No,Fiber optic,No,No,71.21,4984.7,No
TEL00158,2021-02-16,Female,0,Yes,No,Karnataka,41,Month-to-month,Mailed check,Yes,Fiber optic,Yes,No,74.67,3061.47,No
TEL00159,2022-11-08,Female,0,Yes,No,Gujarat,20,Month-to-month,Electronic check,Yes,Fiber optic,No,No,62.41,1248.2,No
TEL00160,2023-09-04,Male,0,No,No,West Bengal,10,Two year,Electronic check,Yes,Fiber optic,No,Yes,78.39,783.9,No
TEL00161,2021-02-16,Female,1,Yes,No,West Bengal,41,Two year,Credit card,Yes,Fiber optic,No,No,81.45,3339.45,Yes
TEL00162,2023-05-07,Male,0,No,No,Delhi,14,Two year,Electronic check,No,No,No internet service,No internet service,18.0,252.0,No
TEL00163,2020-01-23,Female,0,Yes,Yes,Gujarat,54,One year,Mailed check,No,DSL,Yes,Yes,71.13,3841.02,No
TEL00164,2018-12-29,Male,1,Yes,Yes,Karnataka,67,One year,Mailed check,Yes,Fiber optic,No,Yes,88.55,5932.85,No
TEL00165,2023-02-06,Male,0,Yes,No,Delhi,17,Month-to-month,Electronic check,Yes,Fiber optic,No,Yes,69.2,1176.4,No
TEL00166,2021-03-18,Female,0,Yes,Yes,Tamil Nadu,40,Month-to-month,Electronic check,Yes,Fiber optic,No,No,77.44,3097.6,Yes
TEL00167,2024-04-01,Male,1,No,Yes,Delhi,3,Two year,Mailed check,Yes,DSL,No,Yes,42.2,126.6,No
TEL00168,2023-06-06,Female,0,No,No,Maharashtra,13,one year ,Mailed check,No,Fiber optic,No,No,70.0,910.0,Yes
TEL00169,2022-04-12,,1,No,No,West Bengal,27,One year,Electronic check,Yes,Fiber optic,No,Yes,67.23,1815.21,Yes
TEL00170,2019-03-29,Female,0,Yes,No,Telangana,64,One year,Electronic check,No,DSL,No,Yes,46.71,2989.44,No
TEL00171,2018-09-30,Male,1,No,No,Karnataka,70,Two year,Electronic check,No,Fiber optic,No,No,56.13,3929.1,No
TEL00172,2020-09-19,,0,Yes,Yes,Karnataka,46,One year,Bank transfer,No,Fiber optic,Yes,Yes,79.75,3668.5,No
TEL00173,2021-01-17,Male,0,Yes,No,Maharashtra,42,Month-to-month,Credit card,Yes,DSL,Yes,Yes,47.61,1999.62,No
TEL00174,2021-02-16,Female,0,No,No,Delhi,41,Month-to-month,Electronic check,Yes,No,No internet service,No internet service,18.0,738.0,No
TEL00175,2024-03-02,Female,0,Yes,No,Karnataka,4,Two year,Mailed check,Yes,Fiber optic,Yes,No,60.2,240.8,No
TEL00176,2022-04-12,Male,0,Yes,No,West Bengal,27,Two year,Bank transfer,Yes,DSL,No,Yes,51.32,1385.64,No
TEL00177,2018-08-31,,0,No,Yes,Maharashtra,71,Two year,Electronic check,Yes,No,No internet service,No internet service,36.25,2573.75,No
TEL00178,2022-02-11,Female,0,Yes,No,Karnataka,29,Month-to-month,Electronic check,No,DSL,No,Yes,48.08,1394.32,No
TEL00179,2023-04-07,Male,0,No,Yes,Telangana,15,Month-to-month,Bank transfer,Yes,No,No internet service,No internet service,19.79,296.85,Yes
TEL00180,2023-02-06,Male,0,Yes,Yes,Karnataka,17,Month-to-month,Mailed check,Yes,Fiber optic,No,Yes,66.88,1136.96,Yes
TEL00181,2020-03-23,Male,0,Yes,No,Karnataka,52,Month-to-month,Electronic check,No,DSL,No,Yes,47.23,2455.96,No
TEL00182,2024-05-01,Male,0,Yes,Yes,West Bengal,2,One year,Electronic check,Yes,DSL,No,Yes,44.14,88.28,No
TEL00183,2018-09-30,Male,0,Yes,Yes,Karnataka,70,Two year,Credit card,Yes,DSL,Yes,Yes,43.49,3044.3,No
TEL00184,2019-04-28,Female,0,Yes,Yes,Maharashtra,63,Two year,Electronic check,No,Fiber optic,No,No,63.84,4021.92,No
TEL00185,2021-02-16,Female,0,Yes,No,Karnataka,41,Month-to-month,Credit card,Yes,Fiber optic,Yes,No,71.84,2945.44,No
TEL00186,2021-09-14,Female,0,Yes,No,Delhi,34,Month-to-month,Bank transfer,Yes,Fiber optic,No,Yes,78.47,2667.98,No
TEL00187,2019-12-24,Male,0,Yes,Yes,Delhi,55,Month-to-month,Credit card,No,Fiber optic,Yes,No,73.24,4028.2,No
TEL00188,2021-04-17,Male,1,Yes,No,Telangana,39,Two year,Mailed check,Yes,Fiber optic,Yes,No,78.19,3049.41,No
TEL00189,2021-09-14,,0,No,No,Maharashtra,34,Month-to-month,Bank transfer,Yes,No,No internet service,No internet service,31.3,1064.2,No
TEL00190,2022-08-10,Female,0,No,Yes,Maharashtra,23,Two year,Credit card,No,DSL,No,No,53.33,1226.59,No
TEL00191,2021-11-13,Male,0,No,Yes,West Bengal,32,One year,Electronic check,Yes,DSL,Yes,No,47.56,1521.92,No
TEL00192,2020-01-23,Female,1,Yes,No,Telangana,54,Two year,Electronic check,No,Fiber optic,Yes,No,61.75,3334.5,No
TEL00193,2024-03-02,Female,0,No,Yes,Maharashtra,4,Month-to-month,Bank transfer,Yes,No,No internet service,No internet service,19.39,77.56,Yes
TEL00194,2024-05-31,Male,0,No,No,Tamil Nadu,1,Month-to-month,Mailed check,No,DSL,No,No,46.54,46.54,No
TEL00195,2020-03-23,Male,0,No,Yes,Gujarat,52,Month-to-month,Mailed check,Yes,No,No internet service,No internet service,28.86,1500.72,No
TEL00196,2022-04-12,Female,0,Yes,Yes,Karnataka,27,Month-to-month,Mailed check,Yes,DSL,No,No,46.99,1268.73,No
TEL00197,2019-09-25,Male,0,Yes,No,Delhi,58,Two year,Credit card,Yes,No,No internet service,No internet service,43.17,2503.86,No
TEL00198,2024-05-01,Female,0,Yes,No,Gujarat,2,Month-to-month,Bank transfer,No,Fiber optic,No,No,68.26,136.52,No
TEL00199,2019-01-28,Male,0,Yes,No,Karnataka,66,Month-to-month,Bank transfer,Yes,No,No internet service,No internet service,26.13,1724.58,No
TEL00200,2023-11-03,Male,0,No,Yes,Telangana,8,Two year,Electronic check,No,Fiber optic,No,No,63.52,508.16,No
TEL00201,2022-01-12,Male,1,Yes,No,Delhi,30,Two year,Electronic check,Yes,Fiber optic,Yes,Yes,72.79,2183.7,No
